timestamp,main_meter,sub_meter_1,sub_meter_2,corporate,day of week_0,day of week_1,day of week_2,day of week_3,day of week_4,day of week_5,day of week_6,building_number_1,building_number_2,building_number_3,building_number_4,building_number_5
2017-04-01 00:00:00,2294.0695161286876,1310.6714241983332,1.9231961899141876,0,0,0,0,0,0,1,0,0,0,0,0,1
2017-04-01 01:00:00,2316.7912522286324,1322.2780547984898,1.2031701276779083,0,0,0,0,0,0,1,0,0,0,0,0,1
2017-04-01 02:00:00,2323.6164104550185,1303.178101339768,0.2330143148873062,0,0,0,0,0,0,1,0,0,0,0,0,1
2017-04-01 03:00:00,2381.6366406159127,1248.4406806570275,2.4717825128567794,0,0,0,0,0,0,1,0,0,0,0,0,1
2017-04-01 04:00:00,2473.107079393696,1173.056655351154,208.23186474223095,0,0,0,0,0,0,1,0,0,0,0,0,1
2017-04-01 05:00:00,4564.047409774545,1950.1621059637027,1332.6138140162416,0,0,0,0,0,0,1,0,0,0,0,0,1
2017-04-01 06:00:00,5348.981680078815,2385.785602130815,1328.155622505539,0,0,0,0,0,0,1,0,0,0,0,0,1
2017-04-01 07:00:00,5418.022344151453,2544.023991474394,1333.7552471964245,0,0,0,0,0,0,1,0,0,0,0,0,1
2017-04-01 08:00:00,5779.364961013918,2678.497642584609,1321.82008640926,1,0,0,0,0,0,1,0,0,0,0,0,1
2017-04-01 09:00:00,5846.189399360594,2704.6723385090763,1330.07695498474,1,0,0,0,0,0,1,0,0,0,0,0,1
2017-04-01 10:00:00,5854.355872129776,2767.994125848782,1336.707590473829,1,0,0,0,0,0,1,0,0,0,0,0,1
2017-04-01 11:00:00,5952.5203698910245,2775.771738810096,1325.755289524145,1,0,0,0,0,0,1,0,0,0,0,0,1
2017-04-01 12:00:00,5490.684789574917,2460.1516034054316,1324.7024902606627,1,0,0,0,0,0,1,0,0,0,0,0,1
2017-04-01 13:00:00,5564.604266603605,2558.55749180174,1330.2085700006612,1,0,0,0,0,0,1,0,0,0,0,0,1
2017-04-01 14:00:00,5768.265415860823,2749.449105614222,1326.6661276816408,1,0,0,0,0,0,1,0,0,0,0,0,1
2017-04-01 15:00:00,6249.315219795284,2702.9981015913913,1331.2252977855487,1,0,0,0,0,0,1,0,0,0,0,0,1
2017-04-01 16:00:00,6280.404021891374,2638.101916949414,1321.1687352760973,1,0,0,0,0,0,1,0,0,0,0,0,1
2017-04-01 17:00:00,6271.39510701787,2676.829249257646,1326.3674609763336,1,0,0,0,0,0,1,0,0,0,0,0,1
2017-04-01 18:00:00,6212.938649644032,2593.4258464988225,1329.3689194998487,1,0,0,0,0,0,1,0,0,0,0,0,1
2017-04-01 19:00:00,3940.7577661823243,1664.3005302292538,580.3142192310796,1,0,0,0,0,0,1,0,0,0,0,0,1
2017-04-01 20:00:00,2358.3209156941634,1267.9053464951296,1.2802607764881246,0,0,0,0,0,0,1,0,0,0,0,0,1
2017-04-01 21:00:00,2317.6797254621674,1280.4002366543773,5.609550916882969,0,0,0,0,0,0,1,0,0,0,0,0,1
2017-04-01 22:00:00,2465.581396574482,1419.8493083503527,0.7326960588184951,0,0,0,0,0,0,1,0,0,0,0,0,1
2017-04-01 23:00:00,2344.863308553186,1322.6823433437849,3.560464328551565,0,0,0,0,0,0,1,0,0,0,0,0,1
2017-04-02 00:00:00,2396.268074710488,1384.4053182943849,3.0440684251529895,0,0,0,0,0,0,0,1,0,0,0,0,1
2017-04-02 01:00:00,2256.206351370934,1250.0454159023852,0.277791437264837,0,0,0,0,0,0,0,1,0,0,0,0,1
2017-04-02 02:00:00,2327.767918951983,1315.64136752198,3.1933752944506955,0,0,0,0,0,0,0,1,0,0,0,0,1
2017-04-02 03:00:00,2461.1182935608904,1323.5734070670128,3.78044585761866,0,0,0,0,0,0,0,1,0,0,0,0,1
2017-04-02 04:00:00,2325.5999299536734,1262.0245350753273,6.317985581514698,0,0,0,0,0,0,0,1,0,0,0,0,1
2017-04-02 05:00:00,2292.256919757885,1278.5831652902061,1.8604157848293683,0,0,0,0,0,0,0,1,0,0,0,0,1
2017-04-02 06:00:00,3764.726464576846,1750.189674242611,792.4181197249177,0,0,0,0,0,0,0,1,0,0,0,0,1
2017-04-02 07:00:00,5287.444289368761,2505.0434329096006,1326.56694779382,0,0,0,0,0,0,0,1,0,0,0,0,1
2017-04-02 08:00:00,5422.542842271616,2567.7247134384306,1331.8821351498127,1,0,0,0,0,0,0,1,0,0,0,0,1
2017-04-02 09:00:00,5484.092421897013,2659.177955759599,1327.4479594517009,1,0,0,0,0,0,0,1,0,0,0,0,1
2017-04-02 10:00:00,5402.206835105997,2575.085340705448,1327.9055944508655,1,0,0,0,0,0,0,1,0,0,0,0,1
2017-04-02 11:00:00,5237.603913745235,2363.4302691865837,1333.514384571587,1,0,0,0,0,0,0,1,0,0,0,0,1
2017-04-02 12:00:00,2916.7275963335983,1331.9273159271156,395.86349888091604,1,0,0,0,0,0,0,1,0,0,0,0,1
2017-04-02 13:00:00,2414.013833675629,1390.158769264317,4.461697332590895,1,0,0,0,0,0,0,1,0,0,0,0,1
2017-04-02 14:00:00,2439.448160645661,1449.5105855755796,1.3011078676437955,1,0,0,0,0,0,0,1,0,0,0,0,1
2017-04-02 15:00:00,2420.8801455934586,1398.6324942594429,1.514641377467449,1,0,0,0,0,0,0,1,0,0,0,0,1
2017-04-02 16:00:00,2427.8135557992423,1377.583294388974,1.737475231372688,1,0,0,0,0,0,0,1,0,0,0,0,1
2017-04-02 17:00:00,2436.351279021855,1400.3395999854604,0.0,1,0,0,0,0,0,0,1,0,0,0,0,1
2017-04-02 18:00:00,2313.2282245994,1291.2734927525285,1.4075580607789084,1,0,0,0,0,0,0,1,0,0,0,0,1
2017-04-02 19:00:00,2514.3946274041837,1343.1577929432872,5.069500563609839,1,0,0,0,0,0,0,1,0,0,0,0,1
2017-04-02 20:00:00,2251.0731694177616,1184.9245638191462,0.9173299694525094,0,0,0,0,0,0,0,1,0,0,0,0,1
2017-04-02 21:00:00,2352.9078939188494,1305.1560220137828,2.557086829655174,0,0,0,0,0,0,0,1,0,0,0,0,1
2017-04-02 22:00:00,2405.282687436496,1407.899995461871,1.0230805739729312,0,0,0,0,0,0,0,1,0,0,0,0,1
2017-04-02 23:00:00,2341.949091312811,1367.4246354227125,4.273998931352542,0,0,0,0,0,0,0,1,0,0,0,0,1
2017-04-03 00:00:00,2307.668959293148,1288.2527194191323,1.7879028893853943,0,1,0,0,0,0,0,0,0,0,0,0,1
2017-04-03 01:00:00,2275.9729097527043,1263.7367835768237,2.6072316328113425,0,1,0,0,0,0,0,0,0,0,0,0,1
2017-04-03 02:00:00,2258.309403497091,1220.6504177405998,3.6366922484614324,0,1,0,0,0,0,0,0,0,0,0,0,1
2017-04-03 03:00:00,2389.48070851042,1252.6802804382958,2.208200832180914,0,1,0,0,0,0,0,0,0,0,0,0,1
2017-04-03 04:00:00,2964.7691119511046,1258.8594767277555,465.7378228399461,0,1,0,0,0,0,0,0,0,0,0,0,1
2017-04-03 05:00:00,4817.764915210444,2135.494595452943,1326.8320290263455,0,1,0,0,0,0,0,0,0,0,0,0,1
2017-04-03 06:00:00,5606.84527277043,2531.1307389610074,1329.1082738032069,0,1,0,0,0,0,0,0,0,0,0,0,1
2017-04-03 07:00:00,5602.8185952421745,2585.2056301942716,1330.2287864810803,0,1,0,0,0,0,0,0,0,0,0,0,1
2017-04-03 08:00:00,5528.169412432337,2549.9957324449297,1327.774153338647,1,1,0,0,0,0,0,0,0,0,0,0,1
